text,label
You're our lucky winner! $1000 prize waiting. Click https://claimnow7454.io within 24 hours!,spam
Great job on the sales presentation! Everyone loved it.,ham
Forex trading signal - 95% accuracy. Start with $250: https://secure1065.co,spam
Your profile has been successfully updated.,ham
Can you review the marketing document before tomorrow?,ham
Single girls near you want to meet! View profile: https://claimnow9304.org,spam
Thanks for your purchase! Here's 15% off your next order.,ham
Just saw your favorite band and thought of you! How have you been?,ham
Family reunion planning: Can you bring desserts?,ham
The deadline for the report has been extended to Friday.,ham
Client called about the proposal - please call them back.,ham
Your ticket #12345 won $5000 in the weekly draw! https://login5842.co,spam
"Hey John, how are you doing? Let's catch up soon!",ham
Your package from Amazon will arrive by tomorrow.,ham
Your Netflix password expires today. Update immediately: https://secure7686.com,spam
New message from David on your social media account.,ham
Mom asked if you're coming for Thanksgiving dinner this Sunday.,ham
Account warning: Your bank needs verification. Click here: https://prize4337.co,spam
Hot singles in your area are interested! Chat now: https://claim2022.co,spam
The kids loved the presents you sent! They can't stop talking about them.,ham
The laptop you ordered is now available for pickup.,ham
Can you pick up milk from the store on your way home?,ham
Concert tickets for next month are on sale now!,ham
Road trip to the beach this weekend? I'll drive!,ham
Lonely women seeking connection. Message now: https://update9146.com,spam
Meeting reminder: Project review at 2pm in conference room B.,ham
Please arrive 15 minutes early for your hair appointment.,ham
Your Netflix password expires today. Update immediately: https://confirm4034.net,spam
Mom asked if you're coming for Thanksgiving dinner this Sunday.,ham
Can you review the marketing document before tomorrow?,ham
Your perfect match is waiting! Sign up free: https://login8055.co,spam
Don't forget about Sarah's birthday party this Saturday!,ham
Your dentist appointment is confirmed for Monday at 2:30pm.,ham
Can you pick up milk from the store on your way home?,ham
Your profile has been successfully updated.,ham
Your package from Amazon will arrive by tomorrow.,ham
Bitcoin revolution! Turn $100 into $10000 in just 30 days. Join now: https://claimnow3550.biz,spam
New message from David on your social media account.,ham
Please arrive 15 minutes early for your hair appointment.,ham
Crypto millionaire reveals secret! Earn 300% monthly: https://confirm8206.io,spam
Make money online! Easy system. Start now: https://account6213.com,spam
WINNER! You've been selected for the grand prize of $10000. Visit https://login5398.biz to redeem,spam
Your consultation has been rescheduled to Wednesday.,ham
Lonely women seeking connection. Message now: https://verify8475.io,spam
Your perfect match is waiting! Sign up free: https://claim6476.org,spam
WINNER! You've been selected for the grand prize of $10000. Visit https://account5396.com to redeem,spam
CONGRATULATIONS! You've won $1000 in the Mega lottery! Click here to claim your prize now: https://prize5897.info,spam
Confirmation: massage session booked for Friday at 4pm.,ham
Natural health supplements. 30 day trial: https://claimnow1741.com,spam
You're our lucky winner! $1000 prize waiting. Click https://confirm3997.org within 24 hours!,spam
Sale alert: 30% off on winter clothing this weekend only!,ham
Natural health supplements. 30 day trial: https://claimnow9221.com,spam
Concert tickets for next month are on sale now!,ham
Your magazine subscription renewal is due on Friday.,ham
New message from David on your social media account.,ham
Mom asked if you're coming for Thanksgiving dinner this Sunday.,ham
Your bank statement is now available online.,ham
Account warning: Your bank needs verification. Click here: https://verify8610.biz,spam
Your dentist appointment is confirmed for Monday at 2:30pm.,ham
Grandpa's 80th birthday is next month. What should we get him?,ham
Client called about the proposal - please call them back.,ham
Team meeting at 10am to discuss the Q4 project.,ham
The kids loved the presents you sent! They can't stop talking about them.,ham
Suspicious activity on your Amazon account. Please verify details: https://prize8035.net,spam
You're our lucky winner! $1000 prize waiting. Click https://claimnow6556.co within 24 hours!,spam
Weather alert: heavy rain expected in your area tonight.,ham
Weather alert: heavy rain expected in your area tonight.,ham
Work from home! Earn $500/day. No experience needed: https://prize2981.org,spam
Your perfect match is waiting! Sign up free: https://confirm1699.io,spam
Your magazine subscription renewal is due on Friday.,ham
Want to grab lunch at our usual place?,ham
Find love today! 1000+ members online near you: https://win1802.net,spam
Please arrive 15 minutes early for your hair appointment.,ham
Great job on the sales presentation! Everyone loved it.,ham
Road trip to the beach this weekend? I'll drive!,ham
Your package from Amazon will arrive by tomorrow.,ham
The deadline for the report has been extended to Friday.,ham
Forex trading signal - 95% accuracy. Start with $250: https://account3355.net,spam
Please arrive 15 minutes early for your hair appointment.,ham
You are the lucky winner of our annual giveaway! Claim $5000 now at https://claim8864.com,spam
Your ticket #12345 won $5000 in the weekly draw! https://account9987.org,spam
Client called about the proposal - please call them back.,ham
Your Netflix password expires today. Update immediately: https://secure7339.co,spam
Make 500% daily returns with our crypto trading bot! Sign up: https://claim6593.biz,spam
Mom asked if you're coming for Thanksgiving dinner this Sunday.,ham
Just saw your favorite band and thought of you! How have you been?,ham
Make 500% daily returns with our crypto trading bot! Sign up: https://verify4869.biz,spam
Thanks for your purchase! Here's 15% off your next order.,ham
Bitcoin revolution! Turn $100 into $10000 in just 30 days. Join now: https://account9693.com,spam
Can you review the marketing document before tomorrow?,ham
Don't forget about Sarah's birthday party this Saturday!,ham
Work from home! Earn $500/day. No experience needed: https://claim4255.co,spam
Your ticket #12345 won $5000 in the weekly draw! https://claim2135.info,spam
Can you review the marketing document before tomorrow?,ham
Enhance your performance with natural supplements. 50% discount: https://win269.io,spam
Family reunion planning: Can you bring desserts?,ham
The kids loved the presents you sent! They can't stop talking about them.,ham
The laptop you ordered is now available for pickup.,ham
Can you review the marketing document before tomorrow?,ham
Sale alert: 30% off on winter clothing this weekend only!,ham
Account warning: Your bank needs verification. Click here: https://confirm8891.org,spam
URGENT: Your PayPal account will be suspended. Verify now: https://account1757.co,spam
Sale alert: 30% off on winter clothing this weekend only!,ham
Forex trading signal - 95% accuracy. Start with $250: https://secure3032.info,spam
Your order #1234567 has been shipped! Expected delivery: tomorrow,ham
Your profile has been successfully updated.,ham
Thanks for your purchase! Here's 15% off your next order.,ham
Thanks for the gift! It was really thoughtful of you.,ham
Make 500% daily returns with our crypto trading bot! Sign up: https://win8556.biz,spam
Hot singles in your area are interested! Chat now: https://secure478.org,spam
Mom asked if you're coming for Thanksgiving dinner this Sunday.,ham
Your magazine subscription renewal is due on Friday.,ham
Sale alert: 30% off on winter clothing this weekend only!,ham
Forex trading signal - 95% accuracy. Start with $250: https://prize5233.org,spam
Can you pick up milk from the store on your way home?,ham
Movie night this Friday! We're watching the new comedy at our place.,ham
The deadline for the report has been extended to Friday.,ham
Quick cash! Online opportunity. $1000 immediate payment: https://account904.net,spam
URGENT: Your PayPal account will be suspended. Verify now: https://update1402.biz,spam
Just saw your favorite band and thought of you! How have you been?,ham
New message from David on your social media account.,ham
You're our lucky winner! $1000 prize waiting. Click https://prize4857.net within 24 hours!,spam
Work from home! Earn $500/day. No experience needed: https://confirm2215.org,spam
Thanks for the gift! It was really thoughtful of you.,ham
Meeting reminder: Project review at 2pm in conference room B.,ham
Your ticket #12345 won $5000 in the weekly draw! https://verify7287.io,spam
Security alert: Unusual login detected. Confirm your identity at https://prize8747.io,spam
Your order #1234567 has been shipped! Expected delivery: tomorrow,ham
Account warning: Your bank needs verification. Click here: https://claimnow8712.info,spam
Grandpa's 80th birthday is next month. What should we get him?,ham
Just saw your favorite band and thought of you! How have you been?,ham
Please arrive 15 minutes early for your hair appointment.,ham
You're our lucky winner! $1000 prize waiting. Click https://account2347.io within 24 hours!,spam
Reminder: Annual check-up tomorrow at 11am.,ham
Quick cash! Online opportunity. $1000 immediate payment: https://claimnow577.info,spam
Reminder: Annual check-up tomorrow at 11am.,ham
Your order #1234567 has been shipped! Expected delivery: tomorrow,ham
Meeting reminder: Project review at 2pm in conference room B.,ham
Reminder: Annual check-up tomorrow at 11am.,ham
Crypto millionaire reveals secret! Earn 300% monthly: https://verify8670.biz,spam
Your profile has been successfully updated.,ham
New message from David on your social media account.,ham
Security alert: Unusual login detected. Confirm your identity at https://login2990.co,spam
Single girls near you want to meet! View profile: https://secure6817.info,spam
Grandpa's 80th birthday is next month. What should we get him?,ham
Can you pick up milk from the store on your way home?,ham
Find love today! 1000+ members online near you: https://verify3800.net,spam
URGENT: Data entry positions available. Apply: https://update4025.net,spam
The deadline for the report has been extended to Friday.,ham
Single girls near you want to meet! View profile: https://verify8598.co,spam
Make money online! Easy system. Start now: https://update6857.net,spam
Your order #1234567 has been shipped! Expected delivery: tomorrow,ham
Generic medications available! 90 pills for $49.99. Order: https://win882.info,spam
Weather alert: heavy rain expected in your area tonight.,ham
Find love today! 1000+ members online near you: https://claim4109.biz,spam
The laptop you ordered is now available for pickup.,ham
Team meeting at 10am to discuss the Q4 project.,ham
Your dentist appointment is confirmed for Monday at 2:30pm.,ham
Lonely women seeking connection. Message now: https://account7903.biz,spam
Great job on the sales presentation! Everyone loved it.,ham
Lonely women seeking connection. Message now: https://secure8570.co,spam
Just saw your favorite band and thought of you! How have you been?,ham
Want to grab lunch at our usual place?,ham
Make 500% daily returns with our crypto trading bot! Sign up: https://account1269.co,spam
Natural health supplements. 30 day trial: https://update7081.io,spam
Crypto millionaire reveals secret! Earn 300% monthly: https://claim5582.com,spam
You're our lucky winner! $1000 prize waiting. Click https://account6969.io within 24 hours!,spam
Thanks for your purchase! Here's 15% off your next order.,ham
Become a product tester. Earn $50/hour. Sign up: https://claimnow2639.net,spam
Your order #1234567 has been shipped! Expected delivery: tomorrow,ham
Your ticket #12345 won $5000 in the weekly draw! https://account7030.biz,spam
Client called about the proposal - please call them back.,ham
Your order #1234567 has been shipped! Expected delivery: tomorrow,ham
Client called about the proposal - please call them back.,ham
Want to grab lunch at our usual place?,ham
Your bank statement is now available online.,ham
Can you review the marketing document before tomorrow?,ham
Mom asked if you're coming for Thanksgiving dinner this Sunday.,ham
Your bank statement is now available online.,ham
Natural health supplements. 30 day trial: https://secure2515.io,spam
Meeting reminder: Project review at 2pm in conference room B.,ham
Your profile has been successfully updated.,ham
Natural health supplements. 30 day trial: https://claimnow3493.info,spam
Account warning: Your bank needs verification. Click here: https://verify1256.biz,spam
"Hey John, how are you doing? Let's catch up soon!",ham
Team meeting at 10am to discuss the Q4 project.,ham
Sale alert: 30% off on winter clothing this weekend only!,ham
Great job on the sales presentation! Everyone loved it.,ham
"You're our 1,000,000th visitor! Click to spin the prize wheel! https://login2051.io",spam
Thanks for your purchase! Here's 15% off your next order.,ham
Want to grab lunch at our usual place?,ham
Concert tickets for next month are on sale now!,ham
URGENT: Your PayPal account will be suspended. Verify now: https://win4490.org,spam
Just saw your favorite band and thought of you! How have you been?,ham
Your dentist appointment is confirmed for Monday at 2:30pm.,ham
Confirmation: massage session booked for Friday at 4pm.,ham
Get generic Viagra for $2.99! No prescription needed: https://win2842.info,spam
Mom asked if you're coming for Thanksgiving dinner this Sunday.,ham
Reminder: Annual check-up tomorrow at 11am.,ham
Just saw your favorite band and thought of you! How have you been?,ham
Reminder: Annual check-up tomorrow at 11am.,ham
Work from home! Earn $500/day. No experience needed: https://prize1495.org,spam
Mom asked if you're coming for Thanksgiving dinner this Sunday.,ham
CONGRATULATIONS! You've won $1000 in the Mega lottery! Click here to claim your prize now: https://claim5720.biz,spam
Single girls near you want to meet! View profile: https://win6467.biz,spam
Thanks for your purchase! Here's 15% off your next order.,ham
Quick cash! Online opportunity. $1000 immediate payment: https://claimnow747.info,spam
"You're our 1,000,000th visitor! Click to spin the prize wheel! https://confirm2023.info",spam
Find love today! 1000+ members online near you: https://verify810.biz,spam
Generic medications available! 90 pills for $49.99. Order: https://prize7389.org,spam
Tesla stock ALERT! Price expected to rise 200%. Invest now at https://account4436.org,spam
Become a product tester. Earn $50/hour. Sign up: https://win7800.net,spam
Grandpa's 80th birthday is next month. What should we get him?,ham
Can you review the marketing document before tomorrow?,ham
WINNER! You've been selected for the grand prize of $10000. Visit https://verify9198.io to redeem,spam
Forex trading signal - 95% accuracy. Start with $250: https://update4121.org,spam
Team meeting at 10am to discuss the Q4 project.,ham
Concert tickets for next month are on sale now!,ham
Confirmation: massage session booked for Friday at 4pm.,ham
Road trip to the beach this weekend? I'll drive!,ham
Your consultation has been rescheduled to Wednesday.,ham
Security alert: Unusual login detected. Confirm your identity at https://claim4372.co,spam
Your ticket #12345 won $5000 in the weekly draw! https://claim706.net,spam
Confirmation: massage session booked for Friday at 4pm.,ham
Please arrive 15 minutes early for your hair appointment.,ham
Reminder: Annual check-up tomorrow at 11am.,ham
Your order #1234567 has been shipped! Expected delivery: tomorrow,ham
"Hey John, how are you doing? Let's catch up soon!",ham
Movie night this Friday! We're watching the new comedy at our place.,ham
FDA approved weight loss pills. 70% off today: https://win3002.info,spam
Road trip to the beach this weekend? I'll drive!,ham
Just saw your favorite band and thought of you! How have you been?,ham
New message from David on your social media account.,ham
Work from home! Earn $500/day. No experience needed: https://claimnow1665.co,spam
Game night this Saturday! Bring your favorite board games.,ham
The laptop you ordered is now available for pickup.,ham
The deadline for the report has been extended to Friday.,ham
Thanks for your purchase! Here's 15% off your next order.,ham
URGENT: Data entry positions available. Apply: https://update7549.io,spam
Enhance your performance with natural supplements. 50% discount: https://claim2899.net,spam
Can you review the marketing document before tomorrow?,ham
Just saw your favorite band and thought of you! How have you been?,ham
Make 500% daily returns with our crypto trading bot! Sign up: https://secure9350.org,spam
Hot singles in your area are interested! Chat now: https://confirm1876.org,spam
"Hey John, how are you doing? Let's catch up soon!",ham
Client called about the proposal - please call them back.,ham
Movie night this Friday! We're watching the new comedy at our place.,ham
CONGRATULATIONS! You've won $1000 in the Mega lottery! Click here to claim your prize now: https://login1682.biz,spam
"Hey John, how are you doing? Let's catch up soon!",ham
Your dentist appointment is confirmed for Monday at 2:30pm.,ham
Your Netflix password expires today. Update immediately: https://claimnow9690.co,spam
Don't forget about Sarah's birthday party this Saturday!,ham
Become a product tester. Earn $50/hour. Sign up: https://claim5093.co,spam
Concert tickets for next month are on sale now!,ham
Your consultation has been rescheduled to Wednesday.,ham
Can you pick up milk from the store on your way home?,ham
Sale alert: 30% off on winter clothing this weekend only!,ham
You're our lucky winner! $1000 prize waiting. Click https://update3501.io within 24 hours!,spam
Family reunion planning: Can you bring desserts?,ham
Weather alert: heavy rain expected in your area tonight.,ham
Client called about the proposal - please call them back.,ham
Concert tickets for next month are on sale now!,ham
Great job on the sales presentation! Everyone loved it.,ham
Forex trading signal - 95% accuracy. Start with $250: https://secure5715.io,spam
Team meeting at 10am to discuss the Q4 project.,ham
Bitcoin revolution! Turn $100 into $10000 in just 30 days. Join now: https://win2270.com,spam
Generic medications available! 90 pills for $49.99. Order: https://verify5357.org,spam
URGENT: Your PayPal account will be suspended. Verify now: https://win1064.org,spam
Quick cash! Online opportunity. $1000 immediate payment: https://confirm7599.io,spam
The kids loved the presents you sent! They can't stop talking about them.,ham
Concert tickets for next month are on sale now!,ham
Get generic Viagra for $2.99! No prescription needed: https://win4558.io,spam
Your magazine subscription renewal is due on Friday.,ham
Concert tickets for next month are on sale now!,ham
Meeting reminder: Project review at 2pm in conference room B.,ham
Reminder: Annual check-up tomorrow at 11am.,ham
The laptop you ordered is now available for pickup.,ham
Your ticket #12345 won $5000 in the weekly draw! https://claimnow2259.com,spam
Get generic Viagra for $2.99! No prescription needed: https://claim4395.org,spam
Don't forget about Sarah's birthday party this Saturday!,ham
Weather alert: heavy rain expected in your area tonight.,ham
The kids loved the presents you sent! They can't stop talking about them.,ham
The deadline for the report has been extended to Friday.,ham
Tesla stock ALERT! Price expected to rise 200%. Invest now at https://claim3362.org,spam
Can you pick up milk from the store on your way home?,ham
Reminder: Annual check-up tomorrow at 11am.,ham
Enhance your performance with natural supplements. 50% discount: https://update5951.org,spam
Can you review the marketing document before tomorrow?,ham
Get generic Viagra for $2.99! No prescription needed: https://login5183.biz,spam
Work from home! Earn $500/day. No experience needed: https://verify6025.org,spam
Movie night this Friday! We're watching the new comedy at our place.,ham
Your dentist appointment is confirmed for Monday at 2:30pm.,ham
Thanks for your purchase! Here's 15% off your next order.,ham
Road trip to the beach this weekend? I'll drive!,ham
Thanks for the gift! It was really thoughtful of you.,ham
The kids loved the presents you sent! They can't stop talking about them.,ham
New message from David on your social media account.,ham
Movie night this Friday! We're watching the new comedy at our place.,ham
Meeting reminder: Project review at 2pm in conference room B.,ham
Family reunion planning: Can you bring desserts?,ham
Your dentist appointment is confirmed for Monday at 2:30pm.,ham
Confirmation: massage session booked for Friday at 4pm.,ham
Your bank statement is now available online.,ham
Movie night this Friday! We're watching the new comedy at our place.,ham
Grandpa's 80th birthday is next month. What should we get him?,ham
New message from David on your social media account.,ham
Please arrive 15 minutes early for your hair appointment.,ham
Make 500% daily returns with our crypto trading bot! Sign up: https://update2854.com,spam
Your dentist appointment is confirmed for Monday at 2:30pm.,ham
Final notice: Unclaimed lottery prize of $25000! https://account1797.org,spam
Confirmation: massage session booked for Friday at 4pm.,ham
Final notice: Unclaimed lottery prize of $25000! https://update8980.info,spam
Reminder: Annual check-up tomorrow at 11am.,ham
The deadline for the report has been extended to Friday.,ham
Final notice: Unclaimed lottery prize of $25000! https://claim7833.biz,spam
Your consultation has been rescheduled to Wednesday.,ham
Lonely women seeking connection. Message now: https://verify4070.io,spam
Sale alert: 30% off on winter clothing this weekend only!,ham
"Hey John, how are you doing? Let's catch up soon!",ham
The laptop you ordered is now available for pickup.,ham
Make 500% daily returns with our crypto trading bot! Sign up: https://secure290.com,spam
Meeting reminder: Project review at 2pm in conference room B.,ham
The deadline for the report has been extended to Friday.,ham
Your magazine subscription renewal is due on Friday.,ham
Forex trading signal - 95% accuracy. Start with $250: https://win9503.org,spam
Reminder: Annual check-up tomorrow at 11am.,ham
Your ticket #12345 won $5000 in the weekly draw! https://secure923.net,spam
Lonely women seeking connection. Message now: https://login5283.com,spam
Make 500% daily returns with our crypto trading bot! Sign up: https://win7859.org,spam
Generic medications available! 90 pills for $49.99. Order: https://update2017.info,spam
Game night this Saturday! Bring your favorite board games.,ham
Your dentist appointment is confirmed for Monday at 2:30pm.,ham
The deadline for the report has been extended to Friday.,ham
Final notice: Unclaimed lottery prize of $25000! https://secure2737.org,spam
Single girls near you want to meet! View profile: https://claim4931.com,spam
Enhance your performance with natural supplements. 50% discount: https://verify539.info,spam
Don't forget about Sarah's birthday party this Saturday!,ham
Weather alert: heavy rain expected in your area tonight.,ham
Thanks for the gift! It was really thoughtful of you.,ham
Don't forget about Sarah's birthday party this Saturday!,ham
Find love today! 1000+ members online near you: https://account7698.biz,spam
FDA approved weight loss pills. 70% off today: https://confirm7500.com,spam
Road trip to the beach this weekend? I'll drive!,ham
Make 500% daily returns with our crypto trading bot! Sign up: https://claim3368.com,spam
Your magazine subscription renewal is due on Friday.,ham
CONGRATULATIONS! You've won $1000 in the Mega lottery! Click here to claim your prize now: https://update3248.biz,spam
Security alert: Unusual login detected. Confirm your identity at https://prize3722.info,spam
Lonely women seeking connection. Message now: https://verify9019.co,spam
Please arrive 15 minutes early for your hair appointment.,ham
Team meeting at 10am to discuss the Q4 project.,ham
Mom asked if you're coming for Thanksgiving dinner this Sunday.,ham
Please arrive 15 minutes early for your hair appointment.,ham
Reminder: Annual check-up tomorrow at 11am.,ham
Confirmation: massage session booked for Friday at 4pm.,ham
Can you pick up milk from the store on your way home?,ham
Client called about the proposal - please call them back.,ham
You are the lucky winner of our annual giveaway! Claim $5000 now at https://confirm2478.biz,spam
Your Netflix password expires today. Update immediately: https://account8820.net,spam
Please arrive 15 minutes early for your hair appointment.,ham
Enhance your performance with natural supplements. 50% discount: https://login6709.io,spam
Your perfect match is waiting! Sign up free: https://account7519.info,spam
Family reunion planning: Can you bring desserts?,ham
Account warning: Your bank needs verification. Click here: https://update4716.org,spam
Reminder: Annual check-up tomorrow at 11am.,ham
Your package from Amazon will arrive by tomorrow.,ham
The laptop you ordered is now available for pickup.,ham
Your order #1234567 has been shipped! Expected delivery: tomorrow,ham
WINNER! You've been selected for the grand prize of $10000. Visit https://claimnow7497.biz to redeem,spam
Concert tickets for next month are on sale now!,ham
Client called about the proposal - please call them back.,ham
Your consultation has been rescheduled to Wednesday.,ham
The kids loved the presents you sent! They can't stop talking about them.,ham
Reminder: Annual check-up tomorrow at 11am.,ham
The kids loved the presents you sent! They can't stop talking about them.,ham
"You're our 1,000,000th visitor! Click to spin the prize wheel! https://confirm8536.com",spam
